Category,Problem,Link
Advanced Graph Problems,Fixed Length Walk Queries,https://cses.fi/problemset/task/3357
Advanced Graph Problems,Transfer Speeds Sum,https://cses.fi/problemset/task/3111
Advanced Graph Problems,MST Edge Check,https://cses.fi/problemset/task/3407
Advanced Graph Problems,MST Edge Set Check,https://cses.fi/problemset/task/3408
Advanced Graph Problems,MST Edge Cost,https://cses.fi/problemset/task/3409
Advanced Graph Problems,Network Breakdown,https://cses.fi/problemset/task/1677
Advanced Graph Problems,Tree Coin Collecting I,https://cses.fi/problemset/task/3114
Advanced Graph Problems,Tree Coin Collecting II,https://cses.fi/problemset/task/3149
Advanced Graph Problems,Tree Isomorphism I,https://cses.fi/problemset/task/1700
Advanced Graph Problems,Tree Isomorphism II,https://cses.fi/problemset/task/1701
Advanced Graph Problems,Flight Route Requests,https://cses.fi/problemset/task/1699
Advanced Graph Problems,Critical Cities,https://cses.fi/problemset/task/1703
Advanced Graph Problems,Visiting Cities,https://cses.fi/problemset/task/1203
Advanced Graph Problems,Graph Coloring,https://cses.fi/problemset/task/3308
Advanced Graph Problems,Bus Companies,https://cses.fi/problemset/task/3158
Advanced Graph Problems,Split into Two Paths,https://cses.fi/problemset/task/3358
Advanced Graph Problems,Network Renovation,https://cses.fi/problemset/task/1704
Advanced Graph Problems,Forbidden Cities,https://cses.fi/problemset/task/1705
Advanced Graph Problems,Creating Offices,https://cses.fi/problemset/task/1752
Advanced Graph Problems,New Flight Routes,https://cses.fi/problemset/task/1685
Counting Problems,Filled Subgrid Count I,https://cses.fi/problemset/task/3413
Counting Problems,Filled Subgrid Count II,https://cses.fi/problemset/task/3414
Counting Problems,All Letter Subgrid Count I,https://cses.fi/problemset/task/3415
Counting Problems,All Letter Subgrid Count II,https://cses.fi/problemset/task/3416
Counting Problems,Border Subgrid Count I,https://cses.fi/problemset/task/3417
Counting Problems,Border Subgrid Count II,https://cses.fi/problemset/task/3418
Counting Problems,Raab Game II,https://cses.fi/problemset/task/3400
Counting Problems,Empty String,https://cses.fi/problemset/task/1080
Counting Problems,Permutation Inversions,https://cses.fi/problemset/task/2229
Counting Problems,Counting Bishops,https://cses.fi/problemset/task/2176
Counting Problems,Counting Sequences,https://cses.fi/problemset/task/2228
Counting Problems,Grid Paths II,https://cses.fi/problemset/task/1078
Counting Problems,Counting Permutations,https://cses.fi/problemset/task/1075
Counting Problems,Grid Completion,https://cses.fi/problemset/task/2429
Counting Problems,Counting Reorders,https://cses.fi/problemset/task/2421
Counting Problems,Tournament Graph Distribution,https://cses.fi/problemset/task/3232
